################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  5.4689268171688943E-01 a         1     0     1     1     1
  4.5477155052218249E-01 a         2     0     1     1     2
 -1.5170991294053371E-01 a         3     0     1     1     3
  8.2323287067879969E-01 a         4     0     1     1     4
  5.5424391283602792E-01 a         5     0     1     1     5
  2.1995030029851574E+00 a         6     0     1     1     6
 -3.0008711494829043E-01 a         7     0     1     1     7
 -5.7988531229712578E-02 a         8     0     1     1     8
  9.5095234613106136E-02 a         9     0     1     1     9
 -2.8915834182973466E-01 a        10     0     1     1    10
 -3.4977669006709300E-01 a        11     0     1     1    11
 -2.6987910274274478E+00 a        12     0     1     1    12
  8.3801121711919146E-01 a        13     0     1     1    13
 -1.5157002058563848E-01 a        14     0     1     1    14
  6.0006567603504278E-02 a        15     0     1     1    15
 -1.3106736453849507E-01 a        16     0     1     1    16
 -1.4468209647945267E+00 a        17     0     1     1    17
 -2.2469009118621694E-01 a        18     0     1     1    18
  6.6143129260180011E-01 a        19     0     1     1    19
 -2.5166676870693370E+00 a        20     0     1     1    20
  7.3151175929376894E-02 a        21     0     2     1     1
 -2.1750726909068847E+00 a        22     0     2     1     2
  3.0820869756624800E+00 a        23     0     2     1     3
 -1.6508819111598252E+00 a        24     0     2     1     4
  9.1985025892417949E-01 a        25     0     2     1     5
 -8.4411287080611730E-01 a        26     0     2     1     6
  1.4861854681933508E+00 a        27     0     2     1     7
  6.7473670219322324E-02 a        28     0     2     1     8
 -3.1553489607748477E+00 a        29     0     2     1     9
  1.3649674521024813E+00 a        30     0     2     1    10
  1.7268304131961150E+00 a        31     0     2     1    11
  1.4202313243864668E+00 a        32     0     2     1    12
  3.1387024612204062E-01 a        33     0     2     1    13
 -5.1630050549448114E-01 a        34     0     2     1    14
  2.0351418873716360E+00 a        35     0     2     1    15
 -1.2474882900764119E+00 a        36     0     2     1    16
 -1.1753228163541514E+00 a        37     0     2     1    17
 -6.8545213454228671E-01 a        38     0     2     1    18
 -2.9891926456100304E-01 a        39     0     2     1    19
  1.9722808353678545E+00 a        40     0     2     1    20
 -1.3883961213467569E-01 a        41     0     3     1     1
 -1.0457111636928047E+00 a        42     0     3     1     2
 -1.0777674610722883E+00 a        43     0     3     1     3
 -9.8998660347545131E-01 a        44     0     3     1     4
  3.3993767925591944E-01 a        45     0     3     1     5
  1.1913409851889361E+00 a        46     0     3     1     6
  3.6710888427016630E-01 a        47     0     3     1     7
  1.3035720978471255E-01 a        48     0     3     1     8
 -1.3353272719717308E+00 a        49     0     3     1     9
  1.9480217058595936E-01 a        50     0     3     1    10
 -1.4225561187578288E+00 a        51     0     3     1    11
  1.6793030933768316E+00 a        52     0     3     1    12
  8.5077702148571976E-01 a        53     0     3     1    13
 -1.6612563288055302E+00 a        54     0     3     1    14
  1.9640845931632678E+00 a        55     0     3     1    15
  3.7116271689941771E-01 a        56     0     3     1    16
 -9.7123134728260396E-01 a        57     0     3     1    17
 -4.6479070198624274E-02 a        58     0     3     1    18
  9.3203860367269376E-01 a        59     0     3     1    19
  2.6174052899954736E+00 a        60     0     3     1    20
 -1.3547223337120692E-01 a        61     0     4     1     1
  6.3571923369216654E-01 a        62     0     4     1     2
  3.7090622848120208E-01 a        63     0     4     1     3
 -2.0410211407649154E-01 a        64     0     4     1     4
 -1.5140711329622516E+00 a        65     0     4     1     5
 -2.0472942055812240E+00 a        66     0     4     1     6
 -6.2172065239065732E-01 a        67     0     4     1     7
 -2.1324996017624702E+00 a        68     0     4     1     8
  6.2452872361930001E-01 a        69     0     4     1     9
  6.3982155189642353E-01 a        70     0     4     1    10
 -1.2078137520870285E+00 a        71     0     4     1    11
 -3.0454036849096231E+00 a        72     0     4     1    12
  3.6716428293128933E-01 a        73     0     4     1    13
  3.0577789743034280E+00 a        74     0     4     1    14
 -1.1274301776535902E+00 a        75     0     4     1    15
 -9.6121885698923948E-01 a        76     0     4     1    16
  1.9457064739637016E+00 a        77     0     4     1    17
 -1.3709236516435839E+00 a        78     0     4     1    18
 -6.4183050266005259E-01 a        79     0     4     1    19
 -1.7079140451081858E+00 a        80     0     4     1    20
 -1.5815227280834983E+00 a        81     0     5     1     1
 -1.1667115523874352E+00 a        82     0     5     1     2
  8.2543044928312592E-01 a        83     0     5     1     3
  1.1251173776387136E+00 a        84     0     5     1     4
 -3.3047463097770213E-01 a        85     0     5     1     5
  8.7617910532649723E-01 a        86     0     5     1     6
  6.4986956365713255E-01 a        87     0     5     1     7
 -9.9315226297898851E-01 a        88     0     5     1     8
  1.2261426603645498E+00 a        89     0     5     1     9
  2.3918465388756531E+00 a        90     0     5     1    10
  1.5620344546543050E+00 a        91     0     5     1    11
  2.4083775315273952E+00 a        92     0     5     1    12
 -2.4883153928628576E-01 a        93     0     5     1    13
 -2.2076863682839187E+00 a        94     0     5     1    14
  2.7556872462778252E+00 a        95     0     5     1    15
  1.2851419029401356E+00 a        96     0     5     1    16
 -1.0351458398133968E+00 a        97     0     5     1    17
  2.1490219633647301E+00 a        98     0     5     1    18
 -2.3817834649362081E-02 a        99     0     5     1    19
 -4.0272221508178069E-01 a       100     0     5     1    20
  1.4788951134328736E+00 a       101     0     6     1     1
 -1.4987063552116253E+00 a       102     0     6     1     2
  8.5217297718439267E-01 a       103     0     6     1     3
 -1.7969331656441339E+00 a       104     0     6     1     4
 -1.2658232784199310E+00 a       105     0     6     1     5
  1.1177393329561638E+00 a       106     0     6     1     6
 -1.5140246640545538E-01 a       107     0     6     1     7
  6.1348450330995186E-01 a       108     0     6     1     8
  5.2878291140349876E-01 a       109     0     6     1     9
 -9.8069261310147302E-02 a       110     0     6     1    10
  5.7975251060327371E-01 a       111     0     6     1    11
 -6.3268413086970365E-01 a       112     0     6     1    12
  1.3890469587253235E-01 a       113     0     6     1    13
 -7.8400604593494416E-01 a       114     0     6     1    14
  3.9379099294248254E-01 a       115     0     6     1    15
  4.0666464011820230E-01 a       116     0     6     1    16
 -1.0681283944218510E-01 a       117     0     6     1    17
 -5.9891461686818959E-01 a       118     0     6     1    18
  3.5886943218510803E-01 a       119     0     6     1    19
  2.1763045685433986E+00 a       120     0     6     1    20
 -3.6364720998639516E-01 a       121     0     7     1     1
  1.1853675696951935E-01 a       122     0     7     1     2
 -2.1902864254033787E+00 a       123     0     7     1     3
  3.7681836856043545E-02 a       124     0     7     1     4
  1.6049736427892505E+00 a       125     0     7     1     5
 -1.2105965561771252E+00 a       126     0     7     1     6
  1.8840913954073462E+00 a       127     0     7     1     7
 -3.4385362755025756E-01 a       128     0     7     1     8
  8.8758544424155802E-02 a       129     0     7     1     9
  1.2439941081008520E-01 a       130     0     7     1    10
 -2.3023603933361034E+00 a       131     0     7     1    11
 -4.1784609179397432E+00 a       132     0     7     1    12
  8.7132812785480573E-01 a       133     0     7     1    13
  3.1691151398479694E-02 a       134     0     7     1    14
  2.2028556650477364E+00 a       135     0     7     1    15
 -2.5718165172984092E-01 a       136     0     7     1    16
  1.1699934626874200E+00 a       137     0     7     1    17
 -4.9409128095738353E-01 a       138     0     7     1    18
  7.6513197696446389E-01 a       139     0     7     1    19
 -3.4155557522617931E-02 a       140     0     7     1    20
  6.0731601031916171E-01 a       141     0     8     1     1
 -7.5030131157650914E-01 a       142     0     8     1     2
 -4.3999081671331225E-01 a       143     0     8     1     3
  8.4282906901762344E-01 a       144     0     8     1     4
 -4.9020589158218209E-01 a       145     0     8     1     5
 -1.1871297476571179E+00 a       146     0     8     1     6
  1.7006728376880878E-01 a       147     0     8     1     7
  1.3605816774097468E+00 a       148     0     8     1     8
 -2.5299963638438752E+00 a       149     0     8     1     9
  9.1520929170080179E-01 a       150     0     8     1    10
  6.3750695033493454E-01 a       151     0     8     1    11
 -2.9417732178543626E-01 a       152     0     8     1    12
 -3.8147209007353011E-01 a       153     0     8     1    13
 -1.0360236879245870E+00 a       154     0     8     1    14
 -7.3723174518357948E-01 a       155     0     8     1    15
 -3.3018789266027406E+00 a       156     0     8     1    16
  1.4949505450359282E+00 a       157     0     8     1    17
  2.8100950428779171E-02 a       158     0     8     1    18
  1.4732890380535543E-01 a       159     0     8     1    19
  5.4783916322150994E-01 a       160     0     8     1    20
  2.6872021943322444E-01 a       161     0     9     1     1
  1.7623583316379750E+00 a       162     0     9     1     2
  1.3247297717894491E+00 a       163     0     9     1     3
 -2.2360535130322652E+00 a       164     0     9     1     4
 -1.7454657412417993E+00 a       165     0     9     1     5
 -1.8173331909527546E-01 a       166     0     9     1     6
  2.7649433145115537E-01 a       167     0     9     1     7
 -7.9386372776935143E-01 a       168     0     9     1     8
 -4.7867775876868157E-01 a       169     0     9     1     9
  1.5062516973238607E+00 a       170     0     9     1    10
  1.6187741446608221E+00 a       171     0     9     1    11
  4.5158792149609155E-02 a       172     0     9     1    12
 -1.5073608468018087E+00 a       173     0     9     1    13
  3.2540474431879163E-01 a       174     0     9     1    14
 -2.2549015398983765E+00 a       175     0     9     1    15
 -1.3761987723407014E+00 a       176     0     9     1    16
 -1.3092945343479410E+00 a       177     0     9     1    17
 -1.4057985552107997E+00 a       178     0     9     1    18
 -4.6734143419956836E-01 a       179     0     9     1    19
  1.0692992598650730E+00 a       180     0     9     1    20
 -2.2315830328603095E-01 a       181     0    10     1     1
  4.1035220994860420E-02 a       182     0    10     1     2
 -9.7351338612491334E-01 a       183     0    10     1     3
  6.3738955389203378E-01 a       184     0    10     1     4
 -7.5720425356493071E-01 a       185     0    10     1     5
 -1.6463036286134998E+00 a       186     0    10     1     6
  1.4638771379180466E+00 a       187     0    10     1     7
 -5.7257927659420971E-01 a       188     0    10     1     8
 -1.8376747710614880E+00 a       189     0    10     1     9
  1.5529845834178289E+00 a       190     0    10     1    10
 -3.9770704326513223E-01 a       191     0    10     1    11
  1.1089202166322509E+00 a       192     0    10     1    12
  2.1672103266369800E+00 a       193     0    10     1    13
 -4.9271629508651910E-02 a       194     0    10     1    14
  6.8898692321911159E-01 a       195     0    10     1    15
  4.0217532103452197E-01 a       196     0    10     1    16
  1.1105574956979796E+00 a       197     0    10     1    17
 -6.3701325449798951E-01 a       198     0    10     1    18
 -1.1971110837341130E-01 a       199     0    10     1    19
 -9.9635046149168416E-01 a       200     0    10     1    20
 -5.0351359845610844E-01 a       201     0    11     1     1
 -1.4501712430057430E+00 a       202     0    11     1     2
 -2.6639890528907331E+00 a       203     0    11     1     3
 -8.0307827733878276E-02 a       204     0    11     1     4
  1.5349501717556197E-01 a       205     0    11     1     5
 -3.1469433145087899E-01 a       206     0    11     1     6
  8.3385701264234766E-02 a       207     0    11     1     7
  2.1827794419715358E+00 a       208     0    11     1     8
 -2.9127524686670542E-01 a       209     0    11     1     9
 -7.5242584616609764E-01 a       210     0    11     1    10
  5.6018432622925585E-01 a       211     0    11     1    11
  1.0548341238815591E+00 a       212     0    11     1    12
  1.1549534724479102E+00 a       213     0    11     1    13
 -1.0332788453541304E+00 a       214     0    11     1    14
 -1.9577362165578649E+00 a       215     0    11     1    15
  1.7486702325157146E+00 a       216     0    11     1    16
 -2.3772180707293325E-02 a       217     0    11     1    17
 -2.8386951439709684E-01 a       218     0    11     1    18
  5.6111337194354094E-01 a       219     0    11     1    19
 -8.4949505665249148E-01 a       220     0    11     1    20
 -1.0184734843288781E+00 a       221     0    12     1     1
 -1.7702123316444858E+00 a       222     0    12     1     2
 -1.6175957228587883E+00 a       223     0    12     1     3
 -3.4008722348718252E-03 a       224     0    12     1     4
 -1.1786743357126790E+00 a       225     0    12     1     5
 -9.3172729935478715E-01 a       226     0    12     1     6
  3.2669595637780929E-01 a       227     0    12     1     7
  5.5252203805957900E-01 a       228     0    12     1     8
 -4.9243806288320713E-01 a       229     0    12     1     9
 -6.9196466632304210E-01 a       230     0    12     1    10
  1.5137051334446698E+00 a       231     0    12     1    11
  3.2268570500307492E+00 a       232     0    12     1    12
  1.6145303742422088E+00 a       233     0    12     1    13
 -2.9542487504856874E-01 a       234     0    12     1    14
 -1.0934359263301603E+00 a       235     0    12     1    15
  6.9587999473101358E-01 a       236     0    12     1    16
  8.2903722700245797E-01 a       237     0    12     1    17
 -2.3659432340023501E+00 a       238     0    12     1    18
  3.7029495003148272E-01 a       239     0    12     1    19
  2.2986139771113187E-01 a       240     0    12     1    20
  3.3749803183535563E+00 a       241     0    13     1     1
 -9.6458404318978586E-01 a       242     0    13     1     2
 -1.5738783484072180E-01 a       243     0    13     1     3
  1.6963561316025828E+00 a       244     0    13     1     4
  1.8959641588419670E-02 a       245     0    13     1     5
 -3.1691277239283944E-01 a       246     0    13     1     6
  5.1113090408759243E-01 a       247     0    13     1     7
 -2.4597600781955604E+00 a       248     0    13     1     8
 -8.0772723153155179E-01 a       249     0    13     1     9
 -2.9677110612029494E+00 a       250     0    13     1    10
  1.5716899275042284E+00 a       251     0    13     1    11
 -1.8609565766146616E-01 a       252     0    13     1    12
 -1.7732989302489532E+00 a       253     0    13     1    13
  1.6424961167631691E-01 a       254     0    13     1    14
 -9.6601972608283548E-01 a       255     0    13     1    15
  2.4538189334294405E+00 a       256     0    13     1    16
  1.3115114687641241E+00 a       257     0    13     1    17
 -1.2956225389326457E+00 a       258     0    13     1    18
 -4.0020812149299340E-01 a       259     0    13     1    19
 -7.7743946584229950E-01 a       260     0    13     1    20
 -5.1208277066015828E-01 a       261     0    14     1     1
 -6.0685537905429932E-01 a       262     0    14     1     2
 -4.7309393851118531E-01 a       263     0    14     1     3
  9.1074879807830267E-01 a       264     0    14     1     4
 -4.4579724407423654E-01 a       265     0    14     1     5
  7.6828394645254428E-01 a       266     0    14     1     6
 -1.4429626185592145E-01 a       267     0    14     1     7
  1.1311798529920098E+00 a       268     0    14     1     8
  2.0740314400368767E-01 a       269     0    14     1     9
 -4.9952612793515078E-01 a       270     0    14     1    10
 -1.8924398578410082E+00 a       271     0    14     1    11
  5.1559779210923762E-01 a       272     0    14     1    12
  4.5683960780528104E-01 a       273     0    14     1    13
 -7.8402053395207894E-01 a       274     0    14     1    14
  2.2021324346978686E+00 a       275     0    14     1    15
 -6.0402291152571186E-01 a       276     0    14     1    16
 -1.7324122178235801E+00 a       277     0    14     1    17
 -8.3107519502362537E-01 a       278     0    14     1    18
  2.1971837700628774E-01 a       279     0    14     1    19
 -2.0207776600054705E+00 a       280     0    14     1    20
  1.5759906039667457E-01 a       281     0    15     1     1
 -6.8018799593138168E-01 a       282     0    15     1     2
 -4.5690416492793579E-01 a       283     0    15     1     3
 -1.4347488326652627E-01 a       284     0    15     1     4
 -5.9747104126708594E-01 a       285     0    15     1     5
  2.6366558348245717E-01 a       286     0    15     1     6
  9.0889674439245605E-01 a       287     0    15     1     7
  1.5232717657190922E+00 a       288     0    15     1     8
  1.2297018641668384E-01 a       289     0    15     1     9
  1.8505216020376274E+00 a       290     0    15     1    10
  2.6668851772976425E+00 a       291     0    15     1    11
 -1.4894352922778259E-01 a       292     0    15     1    12
 -2.0134010330309599E-01 a       293     0    15     1    13
  8.2696689547768776E-01 a       294     0    15     1    14
 -7.6600624485898838E-01 a       295     0    15     1    15
  3.8012524251717256E-01 a       296     0    15     1    16
 -1.4186663894572700E+00 a       297     0    15     1    17
 -1.5223529870193127E+00 a       298     0    15     1    18
 -6.1319598194527003E-01 a       299     0    15     1    19
  2.8303636197626925E+00 a       300     0    15     1    20
  1.6138081632358685E+00 a       301     0    16     1     1
 -1.3615438070980657E+00 a       302     0    16     1     2
 -3.5699195223968611E-01 a       303     0    16     1     3
  2.4336382866298922E-01 a       304     0    16     1     4
 -4.3123319544218637E+00 a       305     0    16     1     5
 -1.4012060612783650E+00 a       306     0    16     1     6
  5.6407604683259349E-01 a       307     0    16     1     7
  4.7536427525563807E-01 a       308     0    16     1     8
  2.5385782822271761E+00 a       309     0    16     1     9
 -2.1155841241834947E+00 a       310     0    16     1    10
 -1.6943814231858585E+00 a       311     0    16     1    11
 -1.0897926727297391E+00 a       312     0    16     1    12
 -1.5131601464413624E-01 a       313     0    16     1    13
 -1.2114799449590075E+00 a       314     0    16     1    14
 -7.9529739039341052E-01 a       315     0    16     1    15
 -9.5389861767470840E-01 a       316     0    16     1    16
  1.3385865316448611E+00 a       317     0    16     1    17
  3.5258919764265695E-01 a       318     0    16     1    18
  8.7850904176862554E-01 a       319     0    16     1    19
 -1.7714891647446656E+00 a       320     0    16     1    20
 -3.2027268704790384E+00 a       321     0    17     1     1
 -2.3362560653674502E-01 a       322     0    17     1     2
  9.6669165812734562E-02 a       323     0    17     1     3
 -8.3563334725316918E-01 a       324     0    17     1     4
 -3.0164319065001108E+00 a       325     0    17     1     5
  4.2222430902985950E+00 a       326     0    17     1     6
  8.8715732765779010E-01 a       327     0    17     1     7
  1.8610522452036158E+00 a       328     0    17     1     8
 -7.4846261405609738E-01 a       329     0    17     1     9
  2.0001530835516328E+00 a       330     0    17     1    10
  2.6019769403002995E+00 a       331     0    17     1    11
  2.0324780019724549E+00 a       332     0    17     1    12
 -2.8674141107111275E+00 a       333     0    17     1    13
  1.2912333022776927E+00 a       334     0    17     1    14
 -1.3932897102839932E+00 a       335     0    17     1    15
  2.6845498570180868E+00 a       336     0    17     1    16
  3.2027781661897876E+00 a       337     0    17     1    17
 -1.0341183883212340E-01 a       338     0    17     1    18
 -9.4698072900282287E-02 a       339     0    17     1    19
 -1.8306170756746056E+00 a       340     0    17     1    20
  1.7797617971160360E+00 a       341     0    18     1     1
 -1.6047653307781236E+00 a       342     0    18     1     2
  1.7437269124855732E+00 a       343     0    18     1     3
  9.8711209436156000E-01 a       344     0    18     1     4
  5.0937643613063111E-01 a       345     0    18     1     5
 -2.2667525009135103E-01 a       346     0    18     1     6
  1.5763660336116669E+00 a       347     0    18     1     7
  6.1834299529088177E-01 a       348     0    18     1     8
 -2.7383625473142970E+00 a       349     0    18     1     9
  7.1732319625261232E-01 a       350     0    18     1    10
  1.0481967498462275E+00 a       351     0    18     1    11
 -3.5513934927595742E-01 a       352     0    18     1    12
 -5.7527660431211025E-01 a       353     0    18     1    13
 -7.7297877257953473E-01 a       354     0    18     1    14
  2.1045754107014343E+00 a       355     0    18     1    15
 -1.6514069673667182E+00 a       356     0    18     1    16
 -1.5746216121176884E+00 a       357     0    18     1    17
  1.0299730460718466E-01 a       358     0    18     1    18
 -9.9404854231385231E-02 a       359     0    18     1    19
  1.2258525781282053E+00 a       360     0    18     1    20
 -2.5296297632110769E+00 a       361     0    19     1     1
 -5.0058681982806852E-01 a       362     0    19     1     2
  1.7380303183857977E+00 a       363     0    19     1     3
  9.7051533643176646E-01 a       364     0    19     1     4
 -1.3922580767013442E+00 a       365     0    19     1     5
 -1.5121173471295526E+00 a       366     0    19     1     6
  4.1235054222766792E+00 a       367     0    19     1     7
  2.1265483272744965E+00 a       368     0    19     1     8
 -4.2239179868407717E-01 a       369     0    19     1     9
  2.0003637381233426E+00 a       370     0    19     1    10
  6.9417909218990692E-01 a       371     0    19     1    11
 -8.8891331996777334E-01 a       372     0    19     1    12
  4.1298231852009630E+00 a       373     0    19     1    13
  5.3417484788882252E-01 a       374     0    19     1    14
 -6.3960024127959525E-01 a       375     0    19     1    15
 -1.0163871433332063E+00 a       376     0    19     1    16
 -7.1345789851695263E-01 a       377     0    19     1    17
 -3.4229806451426477E+00 a       378     0    19     1    18
 -2.6554127857237475E+00 a       379     0    19     1    19
  2.3909835056624691E+00 a       380     0    19     1    20
 -1.7660810602391666E-01 a       381     0    20     1     1
  3.1761846133959826E+00 a       382     0    20     1     2
  9.9613420447349976E-01 a       383     0    20     1     3
 -2.2776938062939527E+00 a       384     0    20     1     4
  2.6135744722750416E+00 a       385     0    20     1     5
 -1.5505536388305665E+00 a       386     0    20     1     6
 -5.8772811653154389E-01 a       387     0    20     1     7
 -2.4685258468585629E+00 a       388     0    20     1     8
  1.1186281448137787E+00 a       389     0    20     1     9
  8.3069344365687900E-02 a       390     0    20     1    10
  4.2142287172646871E+00 a       391     0    20     1    11
  2.7906966770136852E+00 a       392     0    20     1    12
 -1.7205497309249917E+00 a       393     0    20     1    13
  6.8728033347664952E-01 a       394     0    20     1    14
  8.6306325414736074E-01 a       395     0    20     1    15
 -8.2133021535752815E-01 a       396     0    20     1    16
  6.1945596130500991E-01 a       397     0    20     1    17
 -1.3516106989544519E+00 a       398     0    20     1    18
  5.4059366197732517E-01 a       399     0    20     1    19
 -5.5876314678341887E-01 a       400     0    20     1    20
 -1.5905238380043529E+00 a       401     0    21     1     1
  3.9319999173934943E+00 a       402     0    21     1     2
  2.0015411694268055E+00 a       403     0    21     1     3
 -3.0902210562778071E-01 a       404     0    21     1     4
 -7.1954187824959592E-01 a       405     0    21     1     5
  6.4629314287235884E-01 a       406     0    21     1     6
 -1.0407504146467428E+00 a       407     0    21     1     7
  2.2407437777514176E+00 a       408     0    21     1     8
  1.6133249253208415E+00 a       409     0    21     1     9
 -4.5499709676035581E-02 a       410     0    21     1    10
 -1.4448016496736580E+00 a       411     0    21     1    11
  1.9355922676599269E-01 a       412     0    21     1    12
  2.4557864027217682E+00 a       413     0    21     1    13
 -1.6871877042913597E+00 a       414     0    21     1    14
 -2.6300824047670006E+00 a       415     0    21     1    15
 -1.2623283857277399E+00 a       416     0    21     1    16
 -1.1826634801548666E+00 a       417     0    21     1    17
 -1.4209624337485056E+00 a       418     0    21     1    18
  4.1989592486174465E-01 a       419     0    21     1    19
 -2.3701683813657191E+00 a       420     0    21     1    20
  2.0058298488477901E+00 a       421     0    22     1     1
  2.7029054640931713E+00 a       422     0    22     1     2
  8.0500129866856440E-01 a       423     0    22     1     3
  6.5038385696301482E-01 a       424     0    22     1     4
  8.2783333612308352E-01 a       425     0    22     1     5
  1.7177274333123410E-02 a       426     0    22     1     6
  1.8615604454024857E+00 a       427     0    22     1     7
  2.6135082747814127E+00 a       428     0    22     1     8
 -8.5536817016408473E-01 a       429     0    22     1     9
  8.5809424631968911E-01 a       430     0    22     1    10
 -1.9919831497367251E+00 a       431     0    22     1    11
 -4.4907292224950962E-01 a       432     0    22     1    12
 -1.8126022499149199E+00 a       433     0    22     1    13
 -5.3073954084836650E-01 a       434     0    22     1    14
  2.5388463151195650E+00 a       435     0    22     1    15
 -5.6444690738765257E-01 a       436     0    22     1    16
  7.0037923449507344E-01 a       437     0    22     1    17
  1.3529306875092264E+00 a       438     0    22     1    18
  4.2342370106555408E-02 a       439     0    22     1    19
 -2.1728516865251177E+00 a       440     0    22     1    20
  5.7611349259067668E-01 a       441     0    23     1     1
 -4.5681913424818482E-01 a       442     0    23     1     2
  4.4957377894226858E-01 a       443     0    23     1     3
 -1.0155500082008391E+00 a       444     0    23     1     4
  2.4192116501825365E+00 a       445     0    23     1     5
 -3.6233393093869140E+00 a       446     0    23     1     6
  1.9515745537771241E+00 a       447     0    23     1     7
  3.7660678802235703E-01 a       448     0    23     1     8
  2.5434257511960374E+00 a       449     0    23     1     9
  1.4954635426205807E+00 a       450     0    23     1    10
 -6.5695691350602425E-01 a       451     0    23     1    11
  2.1395642259099770E+00 a       452     0    23     1    12
 -1.2706328534430769E+00 a       453     0    23     1    13
  2.7398539030001006E+00 a       454     0    23     1    14
 -1.3507201090886602E+00 a       455     0    23     1    15
  1.0958857924942118E+00 a       456     0    23     1    16
 -2.1583670633186736E+00 a       457     0    23     1    17
  1.4156081215115346E+00 a       458     0    23     1    18
  6.6049929315103562E-01 a       459     0    23     1    19
  2.4881215710054275E-01 a       460     0    23     1    20
 -1.4302248547712650E+00 a       461     0    24     1     1
  4.3537789118281967E-01 a       462     0    24     1     2
 -6.7338082550757128E-01 a       463     0    24     1     3
  2.1231339407689118E-01 a       464     0    24     1     4
 -1.1702070546240391E+00 a       465     0    24     1     5
  2.5407642206879322E-01 a       466     0    24     1     6
 -7.6298874641002556E-01 a       467     0    24     1     7
 -3.8334854610640609E-02 a       468     0    24     1     8
  9.8735503565311550E-02 a       469     0    24     1     9
 -1.5125219307876211E-01 a       470     0    24     1    10
 -6.9951502569628654E-01 a       471     0    24     1    11
  7.1378383713892835E-01 a       472     0    24     1    12
 -2.1856092310231086E+00 a       473     0    24     1    13
 -3.2846183261122461E+00 a       474     0    24     1    14
  3.4311045919542210E-01 a       475     0    24     1    15
  2.0716863939397707E+00 a       476     0    24     1    16
  2.0368838552358413E+00 a       477     0    24     1    17
  2.6773308176334001E+00 a       478     0    24     1    18
 -9.5853963715778545E-01 a       479     0    24     1    19
  2.3005285190819307E+00 a       480     0    24     1    20
 -2.1463191271591038E+00 a       481     0    25     1     1
 -9.0331230766793358E-01 a       482     0    25     1     2
  1.8701543863519285E-01 a       483     0    25     1     3
 -8.1426606342225616E-01 a       484     0    25     1     4
 -1.7739267674225005E+00 a       485     0    25     1     5
 -1.6806047880633623E+00 a       486     0    25     1     6
 -3.6696596601131324E+00 a       487     0    25     1     7
  1.2077734927539965E+00 a       488     0    25     1     8
 -7.7303654335182792E-01 a       489     0    25     1     9
 -2.2714387938669809E+00 a       490     0    25     1    10
 -9.5902684240128644E-01 a       491     0    25     1    11
  6.9482665698061963E-01 a       492     0    25     1    12
  1.6619053837378319E+00 a       493     0    25     1    13
  4.4199205626972810E-01 a       494     0    25     1    14
 -3.6639761871362270E-01 a       495     0    25     1    15
  1.5759274446778282E+00 a       496     0    25     1    16
  9.1819496520613808E-01 a       497     0    25     1    17
 -2.3962881191980299E+00 a       498     0    25     1    18
 -8.1518755123964715E-01 a       499     0    25     1    19
  8.4176026841161000E-01 a       500     0    25     1    20
  6.2495459077633297E-01 a       501     0    26     1     1
 -1.0682197728331910E+00 a       502     0    26     1     2
  1.4496292182481936E+00 a       503     0    26     1     3
