################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.0412385763375238E-02   2.8890689551868320E-01   8.0933607579263281E-02   5.3812612285648161E-02
         1          2   6.9802155825616580E-02   5.7992468082364856E-01   2.4341682308330984E-01   1.3557779220676708E-01
         1          3   1.1384112622113815E-03   1.6380202464297011E-01   4.0351595131897788E-02   3.6873464434147400E-02
         1          4   0.0000000000000000E+00   5.7285506080764520E-02   1.3881025824336089E-02   1.1596765990358847E-02
         1          5   1.8953177631421000E-02   1.3864768310678269E-01   6.2950057327147951E-02   2.5459326024988457E-02
         1          6   1.6057566773690196E-01   1.2820259358618493E+00   4.8657161083295619E-01   2.7014612141841621E-01
         1          7   2.1268168815843824E-03   3.0713379718225925E-01   7.3046573135012421E-02   6.7889844324680801E-02
         1          8   4.0135434361643893E-02   2.8716612696546157E-01   1.2083867797348105E-01   4.9593421036887117E-02
         1          9   1.0748585069537225E-02   6.4228636952931495E-01   2.1065522087186173E-01   1.0726777058006363E-01
         1         10   1.6112678888409825E-05   4.8786686688301006E-01   8.2574233665724431E-02   8.2242214872959338E-02
         1         11   0.0000000000000000E+00   1.4002772715984443E-01   5.4752367956702894E-02   4.7598796259097242E-02
         1         12   3.4285752740243680E-03   4.6465610688740294E-01   1.3312746442449455E-01   7.2137482617226981E-02
         1         13   5.9171848739760574E-05   8.4149763893039342E-01   3.3413966537311046E-01   2.0414416282754855E-01
         1         14   1.0750556903647401E-01   1.6284329849431718E+00   6.1027867838970007E-01   2.7489435165174475E-01
         1         15   1.2845547281514254E-10   6.0613815515005653E-01   9.5633428370587595E-02   9.0649573176286552E-02
         1         16   0.0000000000000000E+00   1.9079180671216076E-01   5.6535216539658914E-02   7.2941778599579010E-02
         1         17   3.4005859669835901E-06   3.8132365193487983E-01   8.1961204753914080E-02   7.8177362777826415E-02
         1         18   2.8937000096693966E-10   9.4661400277968766E-01   3.7363126794370233E-01   2.3315356785024968E-01
         1         19   2.0489163525328588E-01   9.6135328803645592E-01   5.0271456454834484E-01   1.9410642429025893E-01
         1         20   2.7999852625885461E-21   3.6885631243965300E-01   8.5880762155669102E-02   1.0054393282562686E-01
         1         21   0.0000000000000000E+00   2.4341288454915416E-01   3.8111113564550436E-02   7.1923259453364169E-02
         1         22   8.6112606902578066E-13   2.1770229361056978E-01   2.6543625125468043E-02   4.7661895055070132E-02
         1         23   3.5020538562150441E-21   7.8797955291132027E-01   2.6123324847590063E-01   2.3071711715050819E-01
         1         24   1.0694670873289708E-01   5.1978531234531600E-01   2.4090607835385522E-01   7.1622254631347151E-02
         1         25   1.1227977334466458E-41   2.5615697268746712E-01   2.7485992401070372E-02   4.9102778486143639E-02
         1         26   5.5316890620277213E-26   4.4726956368188645E-02   1.1355272823788886E-03   3.0585184280201567E-03
         1         27   3.9368701988344460E-42   4.1757007424477427E-01   6.0210823102496903E-02   6.7707492845046569E-02
         1         28   1.6038440494449249E-01   3.1821900112285595E-01   2.5407945133784327E-01   1.8867573112977855E-02
         1         29   2.9546176960343452E-79   4.6374421209683797E-02   7.5305149881968708E-04   2.0427661279409938E-03
         1         30   0.0000000000000000E+00   2.9961773552049801E-03   1.9472972070293609E-05   8.9262661512265714E-05
         1         31   1.8459601263591893E-01   3.4933152095729741E-01   3.1179878286415974E-01   2.1232846583723524E-02
         1         32   1.6891083424646753E-06   1.3559718108462873E-03   2.1014950037186067E-04   2.0746588356141871E-04
         1         33   2.3743927326351540E-04   8.5510290270016508E-03   1.6586390113054511E-03   1.4696194245338737E-03
         1         34   6.4932129608251915E-07   1.7699602598524441E-03   2.6669065856985694E-04   2.8051393992001620E-04
         1         35   3.3028154461764725E-05   1.2980048090804773E-02   2.1748155292164238E-03   2.3186473701721231E-03
         1         36   4.9606487075923693E-06   5.2840560485508635E-03   6.6316381169961240E-04   9.7057043817761791E-04
         1         37   8.5805053491986471E-05   5.0596934285613406E-03   1.0704071949341799E-03   9.4033353899419803E-04
         1         38   0.0000000000000000E+00   6.0688619543407783E-04   4.2125497652442124E-05   9.6500878595703286E-05
         1         39   8.4703012694440046E-07   1.0068391041252892E-03   1.2398426119756393E-04   1.7455708686786001E-04
         1         40   0.0000000000000000E+00   4.7065083332087089E-04   1.2288228857534214E-04   9.7815924929895055E-05
         1         41   1.9991331575642982E-05   2.7745155643989481E-03   5.5201445382164474E-04   4.9622991407823720E-04
         1         42   1.2584221723636766E-03   1.8515485947260140E-02   4.5286878223275481E-03   3.7077013439227651E-03
         1         43   0.0000000000000000E+00   1.4748600853899336E-03   4.0244190214591837E-04   3.1383998505955454E-04
         1         44   1.5403434618016087E-04   3.7919752877151247E-03   1.1299764576618155E-03   7.2196304253768567E-04
         1         45   6.7691242351511122E-04   2.9970935599474793E-02   6.8343460272267433E-03   6.4482293126530378E-03
         1         46   1.0615921366210104E-04   1.3252149433471061E-02   2.2954178172800914E-03   2.7829311424644198E-03
         1         47   0.0000000000000000E+00   4.7108563040807140E-03   7.5455496999206979E-04   6.9469286652141106E-04
