################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.0626682404436309E+01 a         1     0     1     1     1
 -7.9213107607200894E-01 a         2     0     1     1     2
 -1.7323711715899901E+01 a         3     0     1     1     3
 -6.4965980164854935E+00 a         4     0     1     1     4
  1.1913796198495918E+01 a         5     0     1     1     5
  1.0311759990702846E+01 a         6     0     1     1     6
  1.1341932465678353E+01 a         7     0     1     1     7
 -9.5846498584500228E+00 a         8     0     1     1     8
 -7.9960467235621220E+00 a         9     0     1     1     9
  3.1518764305286537E+00 a        10     0     1     1    10
 -2.8355505948186535E+00 a        11     0     1     1    11
  1.8018740475679149E+00 a        12     0     1     1    12
  1.9967895803789784E+01 a        13     0     1     1    13
 -1.7523800231379852E+01 a        14     0     1     1    14
  6.9372645219459326E+00 a        15     0     1     1    15
  1.0116676543372565E+01 a        16     0     1     1    16
 -2.0626793947444416E+01 a        17     0     1     1    17
  9.4666202703919442E+00 a        18     0     1     1    18
 -1.3507933134831704E+01 a        19     0     1     1    19
  4.5601441560802325E+00 a        20     0     1     1    20
  5.9713618998587137E+00 a        21     0     2     1     1
 -1.1694736420235044E+01 a        22     0     2     1     2
 -5.4080047751443638E+00 a        23     0     2     1     3
  9.7182974160997215E+00 a        24     0     2     1     4
  1.1649243534744819E+01 a        25     0     2     1     5
  5.5510691148978386E-01 a        26     0     2     1     6
 -2.1004197811658312E+00 a        27     0     2     1     7
  6.8441970667298280E-01 a        28     0     2     1     8
  4.4073665758764857E+00 a        29     0     2     1     9
 -5.5941773305478970E-01 a        30     0     2     1    10
 -7.8780134166290559E+00 a        31     0     2     1    11
 -1.0477880796780685E+01 a        32     0     2     1    12
 -1.4672050225501870E+01 a        33     0     2     1    13
 -1.4169137643107753E+01 a        34     0     2     1    14
 -6.3682938920708188E-01 a        35     0     2     1    15
 -1.8702640895971578E+00 a        36     0     2     1    16
  2.7684965718052457E-01 a        37     0     2     1    17
 -1.9683725449490399E+01 a        38     0     2     1    18
  1.0151589514422634E+01 a        39     0     2     1    19
 -6.4499892715675955E+00 a        40     0     2     1    20
 -5.9927717642394933E+00 a        41     0     3     1     1
 -1.5830533363938928E+00 a        42     0     3     1     2
  5.8452710864798050E+00 a        43     0     3     1     3
 -4.8649023655049950E-01 a        44     0     3     1     4
 -1.2095519331939132E+01 a        45     0     3     1     5
  4.7397757839265692E-01 a        46     0     3     1     6
  1.4356736448022565E+01 a        47     0     3     1     7
 -1.9244067387293150E+01 a        48     0     3     1     8
  1.0953314193032167E+01 a        49     0     3     1     9
  3.7145226203949635E+00 a        50     0     3     1    10
  1.6914534657659175E+01 a        51     0     3     1    11
  1.2481506116132055E+01 a        52     0     3     1    12
 -1.6021788303777576E+01 a        53     0     3     1    13
  9.8458710653455750E+00 a        54     0     3     1    14
 -1.2074053818206796E+01 a        55     0     3     1    15
  1.6605090389161177E+00 a        56     0     3     1    16
  2.0119208767274742E+01 a        57     0     3     1    17
  2.6500460211304059E+01 a        58     0     3     1    18
  5.2802063273992283E+00 a        59     0     3     1    19
  3.6288497212017417E+00 a        60     0     3     1    20
  4.1444129500165046E+00 a        61     0     4     1     1
  1.7473647190187602E+01 a        62     0     4     1     2
 -3.0812128663543157E+00 a        63     0     4     1     3
  4.6029781012128419E+00 a        64     0     4     1     4
  8.3368602561235559E+00 a        65     0     4     1     5
  3.2121295501781417E+00 a        66     0     4     1     6
 -1.2121472144810083E+01 a        67     0     4     1     7
 -1.2054069556180650E+01 a        68     0     4     1     8
 -6.3069652208172817E+00 a        69     0     4     1     9
  7.0629243490096538E-01 a        70     0     4     1    10
 -3.1734808694133165E+00 a        71     0     4     1    11
 -1.1828888396427969E+01 a        72     0     4     1    12
  2.3227652137616545E+01 a        73     0     4     1    13
  2.0394058967593235E+01 a        74     0     4     1    14
  2.9187953572188421E-02 a        75     0     4     1    15
 -1.8205490188791693E+01 a        76     0     4     1    16
  1.7430868787574624E+01 a        77     0     4     1    17
