################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   9.1850507134667470E-02   5.6006532598572734E-01   3.0127949913955204E-01   8.9492603484384495E-02
         1          2   2.1812967245340817E-01   1.1167635949059367E+00   5.4286017062779091E-01   2.1520002603274524E-01
         1          3   1.3988544372961317E-01   9.9163569496153881E-01   5.3478803709985190E-01   1.6500852447241499E-01
         1          4   3.0981643752974647E-01   2.1729665844499206E+00   9.9590702175558443E-01   4.2946741536561689E-01
         1          5   1.6069453916258292E-01   1.2681582597803229E+00   5.3363179226591639E-01   1.9502559481155643E-01
         1          6   4.3386058177218456E-01   2.7598771166453839E+00   1.1498236624619378E+00   5.6635266833135400E-01
         1          7   1.9869348939418147E-01   1.3131444039219191E+00   4.9920141674929347E-01   1.6705888439272260E-01
         1          8   4.1266104208075693E-01   2.1346948574358398E+00   8.5980133609882392E-01   4.2276334645043062E-01
         1          9   7.5544369034852579E-02   9.9036226563456931E-01   3.5882124771179058E-01   1.1190430591099421E-01
         1         10   4.7095639357561603E-01   1.4262442212645217E+00   6.2790497060465322E-01   1.6875425069720804E-01
         1         11   6.2654690315568225E-04   4.4187276060057834E-01   4.4986389428617608E-02   4.0911013575030630E-02
         1         12   2.0019970324392022E-01   6.9425780438276052E-01   2.8761618816664924E-01   2.8054967626561088E-02
         1         13   9.2019094681988143E-09   1.7851990909989024E-01   6.4069404639002033E-04   4.1601999915463622E-03
         1         14   1.8809358608321919E-01   3.1821009820961260E-01   2.5819488303935850E-01   1.4772393807186672E-02
         1         15   8.6269210001485549E-19   7.3338736135904149E-03   1.6191869501139138E-06   4.9964578633530452E-05
         1         16   1.8367131787998919E-01   3.4932306064817159E-01   3.0873989394892665E-01   1.7828530336998889E-02
